candidate_id,had_skills_on_file,strategy,n_recommendations,n_relevant_actions,any_relevant_action
newcand_0,False,popularity_baseline,10,2,True
newcand_1,True,popularity_baseline,10,3,True
newcand_2,True,popularity_baseline,10,0,False
newcand_3,True,popularity_baseline,10,1,True
newcand_4,True,popularity_baseline,10,2,True
newcand_5,True,popularity_baseline,10,0,False
newcand_6,True,popularity_baseline,10,2,True
newcand_7,False,popularity_baseline,10,1,True
newcand_8,True,popularity_baseline,10,0,False
newcand_9,True,popularity_baseline,10,1,True
newcand_10,True,popularity_baseline,10,1,True
newcand_11,True,popularity_baseline,10,0,False
newcand_12,True,popularity_baseline,10,2,True
newcand_13,True,popularity_baseline,10,0,False
newcand_14,True,popularity_baseline,10,0,False
newcand_15,True,popularity_baseline,10,1,True
newcand_16,True,popularity_baseline,10,1,True
newcand_17,True,popularity_baseline,10,1,True
newcand_18,True,popularity_baseline,10,2,True
newcand_19,True,popularity_baseline,10,0,False
newcand_20,True,popularity_baseline,10,0,False
newcand_21,True,popularity_baseline,10,1,True
newcand_22,True,popularity_baseline,10,0,False
newcand_23,True,popularity_baseline,10,1,True
newcand_24,True,popularity_baseline,10,3,True
newcand_25,False,popularity_baseline,10,1,True
newcand_26,True,popularity_baseline,10,1,True
newcand_27,True,popularity_baseline,10,2,True
newcand_28,True,popularity_baseline,10,1,True
newcand_29,True,popularity_baseline,10,1,True
newcand_30,True,popularity_baseline,10,0,False
newcand_31,True,popularity_baseline,10,0,False
newcand_32,True,popularity_baseline,10,2,True
newcand_33,True,popularity_baseline,10,1,True
newcand_34,False,popularity_baseline,10,0,False
newcand_35,True,popularity_baseline,10,1,True
newcand_36,True,popularity_baseline,10,1,True
newcand_37,True,popularity_baseline,10,2,True
newcand_38,True,popularity_baseline,10,1,True
newcand_39,True,popularity_baseline,10,2,True
newcand_40,False,popularity_baseline,10,0,False
newcand_41,True,popularity_baseline,10,2,True
newcand_42,True,popularity_baseline,10,0,False
newcand_43,True,popularity_baseline,10,1,True
newcand_44,True,popularity_baseline,10,1,True
newcand_45,False,popularity_baseline,10,1,True
newcand_46,True,popularity_baseline,10,3,True
newcand_47,True,popularity_baseline,10,3,True
newcand_48,True,popularity_baseline,10,0,False
newcand_49,False,popularity_baseline,10,0,False
newcand_50,True,popularity_baseline,10,1,True
newcand_51,False,popularity_baseline,10,0,False
newcand_52,True,popularity_baseline,10,2,True
