candidate_id,had_skills_on_file,strategy,n_recommendations,n_relevant_actions,any_relevant_action
newcand_0,False,popularity_fallback_no_skills,10,0,False
newcand_1,True,content_popularity_blend,10,2,True
newcand_2,True,content_popularity_blend,10,3,True
newcand_3,True,content_popularity_blend,10,3,True
newcand_4,True,content_popularity_blend,10,7,True
newcand_5,True,content_popularity_blend,10,1,True
newcand_6,True,content_popularity_blend,10,4,True
newcand_7,False,popularity_fallback_no_skills,10,0,False
newcand_8,True,content_popularity_blend,10,4,True
newcand_9,True,content_popularity_blend,10,2,True
newcand_10,True,content_popularity_blend,10,1,True
newcand_11,True,content_popularity_blend,10,1,True
newcand_12,True,content_popularity_blend,10,5,True
newcand_13,True,content_popularity_blend,10,3,True
newcand_14,True,content_popularity_blend,10,3,True
newcand_15,True,content_popularity_blend,10,3,True
newcand_16,True,content_popularity_blend,10,3,True
newcand_17,True,content_popularity_blend,10,6,True
newcand_18,True,content_popularity_blend,10,3,True
newcand_19,True,content_popularity_blend,10,1,True
newcand_20,True,content_popularity_blend,10,2,True
newcand_21,True,content_popularity_blend,10,5,True
newcand_22,True,content_popularity_blend,10,2,True
newcand_23,True,content_popularity_blend,10,2,True
newcand_24,True,content_popularity_blend,10,1,True
newcand_25,False,popularity_fallback_no_skills,10,0,False
newcand_26,True,content_popularity_blend,10,1,True
newcand_27,True,content_popularity_blend,10,4,True
newcand_28,True,content_popularity_blend,10,2,True
newcand_29,True,content_popularity_blend,10,4,True
newcand_30,True,content_popularity_blend,10,2,True
newcand_31,True,content_popularity_blend,10,4,True
newcand_32,True,content_popularity_blend,10,3,True
newcand_33,True,content_popularity_blend,10,0,False
newcand_34,False,popularity_fallback_no_skills,10,0,False
newcand_35,True,content_popularity_blend,10,6,True
newcand_36,True,content_popularity_blend,10,1,True
newcand_37,True,content_popularity_blend,10,3,True
newcand_38,True,content_popularity_blend,10,2,True
newcand_39,True,content_popularity_blend,10,4,True
newcand_40,False,popularity_fallback_no_skills,10,2,True
newcand_41,True,content_popularity_blend,10,3,True
newcand_42,True,content_popularity_blend,10,2,True
newcand_43,True,content_popularity_blend,10,3,True
newcand_44,True,content_popularity_blend,10,4,True
newcand_45,False,popularity_fallback_no_skills,10,1,True
newcand_46,True,content_popularity_blend,10,3,True
newcand_47,True,content_popularity_blend,10,4,True
newcand_48,True,content_popularity_blend,10,3,True
newcand_49,False,popularity_fallback_no_skills,10,0,False
newcand_50,True,content_popularity_blend,10,4,True
newcand_51,False,popularity_fallback_no_skills,10,0,False
newcand_52,True,content_popularity_blend,10,3,True
newcand_53,True,content_popularity_blend,10,5,True
newcand_54,True,content_popularity_blend,10,0,False
newcand_55,True,content_popularity_blend,10,3,True
newcand_56,True,content_popularity_blend,10,2,True
newcand_57,True,content_popularity_blend,10,4,True
newcand_58,True,content_popularity_blend,10,3,True
newcand_59,True,content_popularity_blend,10,2,True
newcand_60,True,content_popularity_blend,10,1,True
newcand_61,True,content_popularity_blend,10,4,True
newcand_62,True,content_popularity_blend,10,5,True
newcand_63,True,content_popularity_blend,10,4,True
newcand_64,True,content_popularity_blend,10,3,True
newcand_65,True,content_popularity_blend,10,4,True
newcand_66,True,content_popularity_blend,10,4,True
newcand_67,True,content_popularity_blend,10,0,False
newcand_68,True,content_popularity_blend,10,1,True
newcand_69,True,content_popularity_blend,10,3,True
newcand_70,True,content_popularity_blend,10,5,True
newcand_71,True,content_popularity_blend,10,2,True
newcand_72,True,content_popularity_blend,10,6,True
newcand_73,True,content_popularity_blend,10,4,True
newcand_74,True,content_popularity_blend,10,4,True
newcand_75,True,content_popularity_blend,10,3,True
newcand_76,True,content_popularity_blend,10,5,True
newcand_77,True,content_popularity_blend,10,5,True
newcand_78,True,content_popularity_blend,10,1,True
newcand_79,True,content_popularity_blend,10,1,True
newcand_80,True,content_popularity_blend,10,1,True
newcand_81,True,content_popularity_blend,10,7,True
newcand_82,True,content_popularity_blend,10,5,True
newcand_83,True,content_popularity_blend,10,4,True
newcand_84,True,content_popularity_blend,10,1,True
newcand_85,True,content_popularity_blend,10,3,True
newcand_86,True,content_popularity_blend,10,4,True
newcand_87,True,content_popularity_blend,10,3,True
newcand_88,True,content_popularity_blend,10,5,True
newcand_89,True,content_popularity_blend,10,3,True
